," This is a citation overview for a set of 9206 documents.",,,,,,,,,,,,,,,,,
2012,"Investigation of basic mobile phases with positive ESI LC-MS for metabonomics studies.","Rainville P.D., Smith N.W., Cowan D., Nicholson J.K., Shockcor J., Skilton S.J., Plumb R.S.",17576199,"Bioanalysis",4, 23,0,0,0,0,0,0,0,0,2,2,0,2
2012,"Metabolism and disposition of 2-methoxy-4-nitroaniline in male and female Harlan Sprague Dawley rats and B6C3F1/N mice","Mathews J.M., Zhan Q., Etheridge A.S., Patel P.R., Black S.R., Banks T.T., Fennell T.R., Snyder R.W., Burgess J.P., Warren S.D., Surh I., Waidyanatha S.",00498254,"Xenobiotica",42, 12,0,0,0,0,0,0,0,0,0,0,0,0
2012,"A metabonomics study on crohn's disease using nuclear magnetic resonance spectroscopy","Fathi F., Kyani A., Nejad M.R., Rezaye-Tavirani M., Naderi N., Zali M.R., Tafazzoli M., Oskouie A.A.",18402291,"HealthMED",6, 11,0,0,0,0,0,0,0,2,2,4,1,5
2012,"Changes of lymph metabolites in a rat model of sepsis induced by cecal ligation and puncture","Li Y., Hou M., Wang J.-G., Wang T., Wan J., Jiao B.-H., Lin Z.-F.",21630755,"Journal of Trauma and Acute Care Surgery",73, 6,0,0,0,0,0,0,0,0,0,0,2,2
2012,"Stress induces biphasic-rewiring and modularization patterns in the metabolomic networks of Escherichia coli","Aziz M.F., Chan P., Osorio J.S., Minhas B.F., Parekatt V., Caetano-Anolles G.",,"Proceedings - 2012 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2012",, ,0,0,0,0,0,0,0,0,0,0,1,1
2012,"Plasma fatty acid metabolic profiles for traditional Chinese medicine syndrome differentiation in diabetic patients using uncorrelated linear discriminant analysis","Xu W., Zhang L., Huang Y., Yang Q., Xiao H., Zhang D.",10008713,"Chinese Journal of Chromatography (Se Pu)",30, 9,0,0,0,0,0,0,0,1,0,1,4,5
2012,"Metabolism throughout follicle and oocyte development in mammals","Collado-Fernandez E., Picton H.M., Dumollard R.",02146282,"International Journal of Developmental Biology",56, 10-12,0,0,0,0,0,0,0,1,6,7,13,20
2012,"Metabolic profiling of follicular fluid and plasma from natural cycle in vitro fertilization patients - A pilot study","McRae C., Baskind N.E., Orsi N.M., Sharma V., Fisher J.",00150282,"Fertility and Sterility",98, 6,0,0,0,0,0,0,0,1,2,3,5,8
2012,"Serum oxylipin profiles in IgA nephropathy patients reflect kidney functional alterations","Zivkovic A.M., Yang J., Georgi K., Hegedus C., Nording M.L., O'Sullivan A., German J.B., Hogg R.J., Weiss R.H., Bay C., Hammock B.D.",15733882,"Metabolomics",8, 6,0,0,0,0,0,0,0,7,7,14,19,33
2012,"Analysis of in vivo function of predicted isoenzymes-a metabolomic approach","Choorapoikayil S., Schoepe J., Buchinger S., Schomburg D.",15362310,"OMICS A Journal of Integrative Biology",16, 12,0,0,0,0,0,0,0,0,1,1,2,3
2012,"Decreasing the mitochondrial synthesis of malate in potato tubers does not affect plastidial starch synthesis, suggesting that the physiological regulation of ADpglucose pyrophosphorylase is context dependent","Szecowka M., Osorio S., Obata T., Araujo W.L., Rohrmann J., Nunes-Nesi A., Fernie A.R.",00320889,"Plant Physiology",160, 4,0,0,0,0,0,0,0,3,1,4,2,6
2012,"Towards an inexpensive sensor technology for disease detection in developing countries","Webster M.S., Raguse B., Wieczorek L., Cooper J.S., Chow E., Hubble L.J.",,"IET Conference Publications",2012, 608,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Applying biofluid metabonomic techniques to analyze the combined subchronic toxicity of propoxur and permethrin in rats","Liang Y.-J., Wang H.-P., Long D.-X., Wu Y.-J.",17576180,"Bioanalysis",4, 24,0,0,0,0,0,0,0,0,2,2,2,4
2012,"Impact of organ culturing on metabolic profile of human corneas: Preliminary results","Kryczka T., Ehlers N., Nielsen K., Midelfart A.",1755375X,"Acta Ophthalmologica",90, 8,0,0,0,0,0,0,0,1,2,3,2,5
2012,"NMR metabolomic investigation of astrocytes interacted with Aβ<inf>42</inf> or its complexes with either copper(II) or zinc(II)","Rocchi A., Valensin D., Aldinucci C., Giani G., Barbucci R., Gaggelli E., Kozlowski H., Valensin G.",01620134,"Journal of Inorganic Biochemistry",117, ,0,0,0,0,0,0,0,1,1,2,2,4
2012,"Androgen receptor activation results in metabolite signatures of an aggressive prostate cancer phenotype: An NMR-based metabonomics study","MacKinnon N., Khan A.P., Chinnaiyan A.M., Rajendiran T.M., Ramamoorthy A.",15733882,"Metabolomics",8, 6,0,0,0,0,0,0,2,4,2,8,0,8
2012,"Metabolic profiling of mouse cerebrospinal fluid by sheathless CE-MS","Ramautar R., Shyti R., Schoenmaker B., De Groote L., Derks R.J.E., Ferrari M.D., Van Den Maagdenberg A.M.J.M., Deelder A.M., Mayboroda O.A.",16182642,"Analytical and Bioanalytical Chemistry",404, 10,0,0,0,0,0,0,0,3,7,10,14,24
2012,"Genome mining reveals the evolutionary origin and biosynthetic potential of basidiomycete polyketide synthases","Lackner G., Misiek M., Braesel J., Hoffmeister D.",10871845,"Fungal Genetics and Biology",49, 12,0,0,0,0,0,0,0,3,9,12,11,23
2012,"Characterization of GCY1 in Saccharomyces cerevisiae by metabolic profiling","Jung J.-Y., Kim T.-Y., Ng C.-Y., Oh M.-K.",13645072,"Journal of Applied Microbiology",113, 6,0,0,0,0,0,0,0,1,3,4,7,11
2012,"Biomarker development for myasthenia gravis","Kaminski H.J., Kusner L.L., Wolfe G.I., Aban I., Minisman G., Conwit R., Cutter G.",00778923,"Annals of the New York Academy of Sciences",1275, 1,0,0,0,0,0,0,0,0,1,1,4,5
2012,"Development of a gas chromatography-mass spectrometry method for the metabolomic study of rice (Oryza sativa L.) grain","Zhou J., Wang S., Chang Y., Zhao Y., Lu X., Zhao C., Xu G.",10008713,"Chinese Journal of Chromatography (Se Pu)",30, 10,0,0,0,0,0,0,0,0,2,2,0,2
2012,"Predicting the metabolic pathways of small molecules based on their physicochemical properties.","Peng C.R., Lu W.C., Niu B., Li M.J., Yang X.Y., Wu M.L.",18755305,"Protein and peptide letters",19, 12,0,0,0,0,0,0,0,3,0,3,1,4
2012,"Response to dietary l-glutamine supplementation in weaned piglets: A serum metabolomic comparison and hepatic metabolic regulation analysis","Xiao Y.P., Wu T.X., Sun J.M., Yang L., Hong Q.H., Chen A.G., Yang C.M.",00218812,"Journal of Animal Science",90, 12,0,0,0,0,0,0,0,0,4,4,6,10
2012,"Metabonomic classification and detection of small molecule biomarkers of malignant pleural effusions","Zhou X.-M., He C.-C., Liu Y.-M., Zhao Y., Zhao D., Du Y., Zheng W.-Y., Li J.-X.",16182642,"Analytical and Bioanalytical Chemistry",404, 10,0,0,0,0,0,0,0,1,3,4,4,8
2012,"Metabonomics study of mice breast cancer in growth process by MS","Qiu-mei K., Zu-kun L., Ruo-shi X., Xiao-li W., jie R., Zhu W., Xiao-ping X.",10018689,"Chinese Journal of Antibiotics",37, 8,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Metabolomic markers for intestinal ischemia in a mouse model","Fahrner R., Beyoglu D., Beldi G., Idle J.R.",00224804,"Journal of Surgical Research",178, 2,0,0,0,0,0,0,0,1,3,4,7,11
2012,"Increased ceramide content and NFκB signaling may contribute to the attenuation of anabolic signaling after resistance exercise in aged males","Rivas D.A., Morris E.P., Haran P.H., Pasha E.P., Da Silva Morais M., Dolnikowski G.G., Phillips E.M., Fielding R.A.",87507587,"Journal of Applied Physiology",113, 11,0,0,0,0,0,0,0,2,4,6,19,25
2012,"Human ESC/iPSC-based 'omics' and bioinformatics for translational research","Muller G.A., Tarasov K.V., Gundry R.L., Boheler K.R.",17406757,"Drug Discovery Today: Disease Models",9, 4,0,0,0,0,0,0,1,1,0,2,2,4
2012,"Inductively coupled plasma-mass spectrometry as a tool for high-throughput analysis of plants.","Seravalli J.",19406029,"Methods in molecular biology (Clifton, N.J.)",918, ,0,0,0,0,0,0,0,0,0,0,3,3
2012,"Risks of the xenogenic origin in stem cells applications","Anisimov S.V.",00413771,"Tsitologiya",54, 4,0,0,0,0,0,0,0,1,1,2,1,3
2012,"Diarrhea-like condition and intestinal mucosal responses in susceptible homozygous and heterozygous F4R+ pigs challenged with enterotoxigenic Escherichia coli","Sugiharto S., Hedemann M.S., Jensen B.B., Lauridsen C.",00218812,"Journal of Animal Science",90, 4,0,0,0,0,0,0,0,0,0,0,2,2
2012,"Qualitative and quantitative screening of amino acids in plant tissues.","Menzel W.I., Chen W.P., Hegeman A.D., Cohen J.D.",19406029,"Methods in molecular biology (Clifton, N.J.)",918, ,0,0,0,0,0,0,0,0,1,1,0,1
2012,"Metabolite profiling of Curcuma species grown in different regions using <sup>1</sup>H NMR spectroscopy and multivariate analysis","Jung Y., Lee J., Kim H.K., Moon B.C., Ji Y., Ryu D.H., Hwang G.-S.",00032654,"Analyst",137, 23,0,0,0,0,0,0,0,1,5,6,17,23
2012,"The metamorphosis of amphibian toxicogenomics","Helbing C.C.",16648021,"Frontiers in Genetics",3, ,0,0,0,0,0,0,1,4,1,6,5,11
2012,"From paper trails to DNA barcodes: Enhancing traceability in forest and fishery certification","Migone A., Howlett M.",00280739,"Natural Resources Journal",52, 2,0,0,0,0,0,0,0,1,0,1,2,3
2012,"Probiotics for human health -new innovations and emerging trends","Grover S., Rashmi H.M., Srivastava A.K., Batish V.K.",17574749,"Gut Pathogens",4, 1,0,0,0,0,0,0,0,3,4,7,9,16
2012,"Preoperative assessment of adnexal mass in adolescent patients.","Ivanov S.",03240959,"Akusherstvo i ginekologii{combining double inverted breve}a",51, ,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Down-regulation of the caffeic acid O-methyltransferase gene in switchgrass reveals a novel monolignol analog","Tschaplinski T.J., Standaert R.F., Engle N.L., Martin M.Z., Sangha A.K., Parks J.M., Smith J.C., Samuel R., Jiang N., Pu Y., Ragauskas A.J., Hamilton C.Y., Fu C., Wang Z.-Y., Davison B.H., Dixon R.A., Mielenz J.R.",17546834,"Biotechnology for Biofuels",5, 1,0,0,0,0,0,0,0,0,1,1,6,7
2012,"IPAD: the Integrated Pathway Analysis Database for Systematic Enrichment Analysis.","Zhang F., Drabier R.",14712105,"BMC bioinformatics",13, ,0,0,0,0,0,0,0,7,3,10,12,22
2012,"Plant metabolomics: Resolution and quantification of elusive peaks in liquid chromatography-mass spectrometry profiles of complex plant extracts using multi-way decomposition methods","Khakimov B., Amigo J.M., Bak S., Engelsen S.B.",00219673,"Journal of Chromatography A",1266, ,0,0,0,0,0,0,0,2,6,8,20,28
2012,"Metabolic profiles characterizing different phenotypes of polycystic ovary syndrome: Plasma metabolomics analysis","Zhao Y., Fu L., Li R., Wang L.-N., Yang Y., Liu N.-N., Zhang C.-M., Wang Y., Liu P., Tu B.-B., Zhang X., Qiao J.",17417015,"BMC Medicine",10, ,0,0,0,0,0,0,0,4,10,14,28,42
2012,"Reproducibility and robustness of metabolome analysis in rat plasma of 28-day repeated dose toxicity studies","Kamp H., Strauss V., Wiemer J., Leibold E., Walk T., Mellert W., Looser R., Prokoudine A., Fabian E., Krennrich G., Herold M., van Ravenzwaay B.",03784274,"Toxicology Letters",215, 2,0,0,0,0,0,0,1,1,5,7,1,8
2012,"Assessing the metabolic effects of prednisolone in healthy volunteers using urine metabolic profiling","Ellero-Simatos S., Szymanska E., Rullmann T., Dokter W.H.A., Ramaker R., Berger R., van Iersel T.M.P., Smilde A.K., Hankemeier T., Alkema W.",1756994X,"Genome Medicine",4, 11,0,0,0,0,0,0,0,0,2,2,3,5
2012,"Metabolic Response to Klebsiella pneumoniae Infection in an Experimental Rat Model","Dong F., Wang B., Zhang L., Tang H., Li J., Wang Y.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,2,1,3,7,10
2012,"Classification using NMR-based metabolomics of Sophora flavescens grown in Japan and China","Suzuki R., Ikeda Y., Yamamoto A., Saima T., Fujita T., Fukuda T., Fukuda E., Baba M., Okada Y., Shirataki Y.",1934578X,"Natural Product Communications",7, 11,0,0,0,0,0,0,0,2,2,4,1,5
2012,"A high-fat diet containing whole walnuts (Juglans regia) reduces tumour size and growth along with plasma insulin-like growth factor 1 in the transgenic adenocarcinoma of the mouse prostate model","Davis P.A., Vasu V.T., Gohil K., Kim H., Khan I.H., Cross C.E., Yokoyama W.",00071145,"British Journal of Nutrition",108, 10,0,0,0,0,0,0,0,5,8,13,10,23
2012,"Using nanotopography and metabolomics to identify biochemical effectors of multipotency","Tsimbouri P.M., McMurray R.J., Burgess K.V., Alakpa E.V., Reynolds P.M., Murawski K., Kingham E., Oreffo R.O.C., Gadegaard N., Dalby M.J.",19360851,"ACS Nano",6, 11,0,0,0,0,0,0,0,5,10,15,29,44
2012,"Weighted NMF for high-resolution mass spectrometry analysis","Dubroca R., Junor C., Souloumiac A.",22195491,"European Signal Processing Conference",, ,0,0,0,0,0,0,0,0,1,1,2,3
2012,"Targeted and quantitative metabolomics in bacteria","Link H., Buescher J.M., Sauer U.",05809517,"Methods in Microbiology",39, ,0,0,0,0,0,0,0,0,0,0,4,4
2012,"gLIMS: Google cloud-based laboratory information management system for NMR metabolomics","Pharr E., Olmsted A., Anderson P.E.",,"2012 ACM Conference on Bioinformatics, Computational Biology and Biomedicine, BCB 2012",, ,0,0,0,0,0,0,0,0,0,0,1,1
2012,"Empirical metabolite identification via GA feature selection and Bayes classification","Anderson P., Peterson M.",,"2012 ACM Conference on Bioinformatics, Computational Biology and Biomedicine, BCB 2012",, ,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Regulation of yeast central metabolism by enzyme phosphorylation","Oliveira A.P., Ludwig C., Picotti P., Kogadeeva M., Aebersold R., Sauer U.",17444292,"Molecular Systems Biology",8, ,0,0,0,0,0,0,1,7,28,36,38,74
2012,"High-resolution temporal analysis of global promoter activity in Bacillus subtilis","Botella E., Noone D., Salzberg L.I., Hokamp K., Devine S.K., Fogg M., Wilkinson A.J., Devine K.M.",05809517,"Methods in Microbiology",39, ,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Integrative analysis of physiological phenotype of plant cells byturgor measurement and metabolomics","Gholipour Y., Erra-Balsells R., Nonami H.",1816093X,"Engineering Letters",20, 4,0,0,0,0,0,0,0,0,0,0,1,1
2012,"Effects of genetics and environment on the metabolome of commercial maize hybrids: A multisite study","Asiago V.M., Hazebroek J., Harp T., Zhong C.",00218561,"Journal of Agricultural and Food Chemistry",60, 46,0,0,0,0,0,0,0,1,7,8,12,20
2012,"Transcriptional and metabolomic analysis of Ascophyllum nodosum mediated freezing tolerance in Arabidopsis thaliana","Nair P., Kandasamy S., Zhang J., Ji X., Kirby C., Benkel B., Hodges M.D., Critchley A.T., Hiltz D., Prithiviraj B.",14712164,"BMC Genomics",13, 1,0,0,0,0,0,0,0,0,4,4,12,16
2012,"Simultaneous testing of multiclass organic contaminants in food and environment by liquid chromatography/dielectric barrier discharge ionization-mass spectrometry","Gilbert-Lopez B., Garcia-Reyes J.F., Meyer C., Michels A., Franzke J., Molina-Diaz A., Hayen H.",00032654,"Analyst",137, 22,0,0,0,0,0,0,0,7,1,8,24,32
2012,"Liquid chromatography-mass spectrometry calibration transfer and metabolomics data fusion","Vaughan A.A., Dunn W.B., Allwood J.W., Wedge D.C., Blackhall F.H., Whetton A.D., Dive C., Goodacre R.",00032700,"Analytical Chemistry",84, 22,0,0,0,0,0,0,0,5,5,10,10,20
2012,"Structural characterization of plasma metabolites detected via LC-electrochemical coulometric array using LC-UV fractionation, MS, and NMR","Bird S.S., Sheldon D.P., Gathungu R.M., Vouros P., Kautz R., Matson W.R., Kristal B.S.",00032700,"Analytical Chemistry",84, 22,0,0,0,0,0,0,0,2,2,4,2,6
2012,"Effect of polar protic and polar aprotic solvents on negative-ion electrospray ionization and chromatographic separation of small acidic molecules","Huffman B.A., Poltash M.L., Hughey C.A.",00032700,"Analytical Chemistry",84, 22,0,0,0,0,0,0,0,2,4,6,17,23
2012,"Metabonomics of newborn screening dried blood spot samples: A novel approach in the screening and diagnostics of inborn errors of metabolism","Denes J., Szabo E., Robinette S.L., Szatmari I., Szonyi L., Kreuder J.G., Rauterberg E.W., Takats Z.",00032700,"Analytical Chemistry",84, 22,0,0,0,0,0,0,0,3,4,7,15,22
2012,"Fast and accurate quantitative metabolic profiling of body fluids by nonlinear sampling of 1H-13C Two-dimensional nuclear magnetic resonance spectroscopy","Rai R.K., Sinha N.",00032700,"Analytical Chemistry",84, 22,0,0,0,0,0,0,0,2,5,7,11,18
2012,"Diabetes induced testicular dysfunction amelioration by ethyl acetate fraction of hydromethanolic extract of root of Musa paradisiaca L. in streptozotocin-induced diabetic rat","Chatterjee K., Ali K.M., De D., Bera T.K., Jana K., Maiti S., Ghosh A., Samanta R., Ghosh D.",22221808,"Asian Pacific Journal of Tropical Disease",2, 1,0,0,0,0,0,0,0,0,2,2,2,4
2012,"A machine learning and chemometrics assisted interpretation of spectroscopic data - A NMR-based metabolomics platform for the assessment of Brazilian propolis","Maraschin M., Somensi-Zeggio A., Oliveira S.K., Kuhnen S., Tomazzoli M.M., Zeri A.C.M., Carreira R., Rocha M.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",7632, ,0,0,0,0,0,0,0,0,0,0,2,2
2012,"Pattern Recognition in Bioinformatics - 7th IAPR International Conference, PRIB 2012, Proceedings","",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",7632, ,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Meeting on metabolomics moves the focus from endpoint to integrative systems science","Reinke S.N., Broadhurst D.I.",1756994X,"Genome Medicine",, ,0,0,0,0,0,0,0,0,0,0,2,2
2012,"Biomarkers of Whale Shark Health: A Metabolomic Approach","Dove A.D.M., Leisen J., Zhou M., Byrne J.J., Lim-Hing K., Webb H.D., Gelbaum L., Viant M.R., Kubanek J., Fernandez F.M.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,4,9,13,8,21
2012,"Temporal molecular and biological assessment of an erlotinib-resistant lung adenocarcinoma model reveals markers of tumor progression and treatment response","Weaver Z., Difilippantonio S., Carretero J., Martin P.L., El Meskini R., Iacovelli A.J., Gumprecht M., Kulaga A., Guerin T., Schlomer J., Baran M., Kozlov S., McCann T., Mena S., Al-Shahrour F., Alexander D., Wong K.-K., Van Dyke T.",00085472,"Cancer Research",72, 22,0,0,0,0,0,0,0,3,7,10,7,17
2012,"The metabolomic signature of malignant glioma reflects accelerated anabolic metabolism","Chinnaiyan P., Kensicki E., Bloom G., Prabhu A., Sarcar B., Kahali S., Eschrich S., Qu X., Forsyth P., Gillies R.",00085472,"Cancer Research",72, 22,0,0,0,0,0,0,0,6,9,15,31,46
2012,"Traceability of Italian garlic (Allium sativum L.) by means of HRMAS-NMR spectroscopy and multivariate data analysis","Ritota M., Casciani L., Han B.-Z., Cozzolino S., Leita L., Sequi P., Valentini M.",03088146,"Food Chemistry",135, 2,0,0,0,0,0,0,0,3,2,5,13,18
2012,"Visualising associations between paired 'omics' data sets","Gonzalez I., Cao K.-A.L., Davis M.J., Dejean S.",17560381,"BioData Mining",5, 1,0,0,0,0,0,0,0,2,6,8,27,35
2012,"Influence of Red Pepper Spice and Turmeric on Inflammation and Oxidative Stress Biomarkers in Overweight Females: A Metabolomics Approach","Nieman D.C., Cialdella-Kam L., Knab A.M., Shanely R.A.",09219668,"Plant Foods for Human Nutrition",67, 4,0,0,0,0,0,0,0,2,1,3,9,12
2012,"The FgHOG1 Pathway Regulates Hyphal Growth, Stress Responses, and Plant Infection in Fusarium graminearum","Zheng D., Zhang S., Zhou X., Wang C., Xiang P., Zheng Q., Xu J.-R.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,5,7,12,28,40
2012,"Mass spectrometry-based metabolite profiling and antioxidant activity of Aloe vera (Aloe barbadensis Miller) in different growth stages","Lee S., Do S.-G., Kim S.Y., Kim J., Jin Y., Lee C.H.",00218561,"Journal of Agricultural and Food Chemistry",60, 45,0,0,0,0,0,0,0,7,9,16,16,32
2012,"Gut microbial metabolism of polyphenols from black tea and red wine/grape juice is source-specific and colon-region dependent","Van Dorsten F.A., Peters S., Gross G., Gomez-Roldan V., Klinkenberg M., De Vos R.C., Vaughan E.E., Van Duynhoven J.P., Possemiers S., Van De Wiele T., Jacobs D.M.",00218561,"Journal of Agricultural and Food Chemistry",60, 45,0,0,0,0,0,0,0,10,12,22,12,34
2012,"Identification of Plasma Lipid Biomarkers for Prostate Cancer by Lipidomics and Bioinformatics","Zhou X., Mao J., Ai J., Deng Y., Roth M.R., Pound C., Henegar J., Welti R., Bigler S.A.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,5,13,18,47,65
2012,"A comparison of the chromatographic properties of silica gel and silicon hydride modified silica gels","Bawazeer S., Sutcliffe O.B., Euerby M.R., Bawazeer S., Watson D.G.",00219673,"Journal of Chromatography A",1263, ,0,0,0,0,0,0,0,3,6,9,8,17
2012,"Type 2 Diabetes Associated Changes in the Plasma Non-Esterified Fatty Acids, Oxylipins and Endocannabinoids","Grapov D., Adams S.H., Pedersen T.L., Garvey W.T., Newman J.W.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,6,7,13,27,40
2012,"Metabolomics identifies an inflammatory cascade involved in dioxin- and diet-induced steatohepatitis","Matsubara T., Tanaka N., Krausz K.W., Manna S.K., Kang D.W., Anderson E.R., Luecke H., Patterson A.D., Shah Y.M., Gonzalez F.J.",15504131,"Cell Metabolism",16, 5,0,0,0,0,0,0,0,1,10,11,26,37
2012,"Simple-statistical and composite-statistical scrutinizers to optimize metabolome coverage","Shadkami F.",18743919,"Journal of Proteomics",, ,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Implementation of a semi-automated strategy for the annotation of metabolomic fingerprints generated by liquid chromatography-high resolution mass spectrometry from biological samples","Courant F., Royer A.-L., Chereau S., Morvan M.-L., Monteau F., Antignac J.-P., Le Bizec B.",00032654,"Analyst",137, 21,0,0,0,0,0,0,0,8,7,15,7,22
2012,"Fishy Aroma of Social Status: Urinary Chemo-Signalling of Territoriality in Male Fathead Minnows (Pimephales promelas)","Martinovic-Weigelt D., Ekman D.R., Villeneuve D.L., James C.M., Teng Q., Collette T.W., Ankley G.T.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,2,3,5,8,13
2012,"Feeding Healthy Beagles Medium-Chain Triglycerides, Fish Oil, and Carnitine Offsets Age-Related Changes in Serum Fatty Acids and Carnitine Metabolites","Hall J.A., Jewell D.E.",19326203,"PLoS ONE",7, 11,0,0,0,0,0,0,0,1,1,2,6,8
2012,"Nontargeted metabolite profiling in compatible pathogen-inoculated tobacco (Nicotiana tabacum L. cv. Wisconsin 38) using UPLC-Q-TOF/MS","Cho K., Kim Y., Wi S.J., Seo J.B., Kwon J., Chung J.H., Park K.Y., Nam M.H.",00218561,"Journal of Agricultural and Food Chemistry",60, 44,0,0,0,0,0,0,0,3,4,7,7,14
2012,"Sheathless capillary electrophoresis-mass spectrometry with a high-sensitivity porous sprayer for cationic metabolome analysis","Hirayama A., Tomita M., Soga T.",00032654,"Analyst",137, 21,0,0,0,0,0,0,0,5,11,16,11,27
2012,"TOCCATA: A customized carbon total correlation spectroscopy NMR metabolomics database","Bingol K., Zhang F., Bruschweiler-Li L., Bruschweiler R.",00032700,"Analytical Chemistry",84, 21,0,0,0,0,0,0,0,3,7,10,19,29
2012,"Learned recognition of maternal signature odors mediates the first suckling episode in mice","Logan D.W., Brunet L.J., Webb W.R., Cutforth T., Ngai J., Stowers L.",09609822,"Current Biology",22, 21,0,0,0,0,0,0,2,10,11,23,27,50
2012,"MolFind: A software package enabling HPLC/MS-based identification of unknown chemical structures","Menikarachchi L.C., Cawley S., Hill D.W., Hall L.M., Hall L., Lai S., Wilder J., Grant D.F.",00032700,"Analytical Chemistry",84, 21,0,0,0,0,0,0,0,8,4,12,24,36
2012,"Molecular analysis of model gut microbiotas by imaging mass spectrometry and nanodesorption electrospray ionization reveals dietary metabolite transformations","Rath C.M., Alexandrov T., Higginbottom S.K., Song J., Milla M.E., Fischbach M.A., Sonnenburg J.L., Dorrestein P.C.",00032700,"Analytical Chemistry",84, 21,0,0,0,0,0,0,0,7,10,17,14,31
2012,"Nuclear magnetic resonance spectroscopy and its key role in environmental research","Simpson A.J., Simpson M.J., Soong R.",0013936X,"Environmental Science and Technology",46, 21,0,0,0,0,0,0,0,8,11,19,25,44
2012,"Comprehensive analysis of commercial willow bark extracts by new technology platform: Combined use of metabolomics, high-performance liquid chromatography-solid-phase extraction-nuclear magnetic resonance spectroscopy and high-resolution radical scavenging assay","Agnolet S., Wiese S., Verpoorte R., Staerk D.",00219673,"Journal of Chromatography A",1262, ,0,0,0,0,0,0,0,5,7,12,11,23
2012,"Combined metabonomic and quantitative real-time PCR analyses reveal systems metabolic changes in jurkat T-cells treated with HIV-1 tat protein","Liao W., Tan G., Zhu Z., Chen Q., Lou Z., Dong X., Zhang W., Pan W., Chai Y.",15353893,"Journal of Proteome Research",11, 11,0,0,0,0,0,0,0,0,1,1,12,13
2012,"Low-salt diet and cyclosporine nephrotoxicity: Changes in kidney cell metabolism","Klawitter J., Klawitter J., Schmitz V., Brunner N., Crunk A., Corby K., Bendrick-Peart J., Leibfritz D., Edelstein C.L., Thurman J.M., Christians U.",15353893,"Journal of Proteome Research",11, 11,0,0,0,0,0,0,1,0,3,4,6,10
2012,"Toxicological effects of environmentally relevant lead and zinc in halophyte Suaeda salsa by NMR-based metabolomics","Wu H., Liu X., Zhao J., Yu J., Pang Q., Feng J.",09639292,"Ecotoxicology",21, 8,0,0,0,0,0,0,0,1,4,5,6,11
2012,"Altered fatty acid metabolism due to rifampicin-resistance conferring mutations in the rpoB gene of mycobacterium tuberculosis: Mapping the potential of pharmaco-metabolomics for global health and personalized medicine","Du Preez I., Loots D.T.",15362310,"OMICS A Journal of Integrative Biology",16, 11,0,0,0,0,0,0,0,1,5,6,9,15
2012,"Metabolomics evaluation of hydroxyproline as a potential marker of melamine and cyanuric acid nephrotoxicity in male and female Fischer F344 rats","Schnackenberg L.K., Sun J., Pence L.M., Bhattacharyya S., da Costa G.G., Beger R.D.",02786915,"Food and Chemical Toxicology",50, 11,0,0,0,0,0,0,0,4,4,8,4,12
2012,"A comparison of four sputum pre-extraction preparation methods for identifying and characterising Mycobacterium tuberculosis using GCxGC-TOFMS metabolomics","Schoeman J.C., du Preez I., Loots D.T.",01677012,"Journal of Microbiological Methods",91, 2,0,0,0,0,0,0,0,5,2,7,11,18
2012,"Saliva metabolomics opens door to biomarker discovery, disease diagnosis, and treatment","Zhang A., Sun H., Wang X.",02732289,"Applied Biochemistry and Biotechnology",168, 6,0,0,0,0,0,0,0,10,18,28,28,56
2012,"Nanoparticulate silver increases uric acid and allantoin excretion in rats, as identified by metabolomics","Hadrup N., Lam H.R., Loeschner K., Mortensen A., Larsen E.H., Frandsen H.",0260437X,"Journal of Applied Toxicology",32, 11,0,0,0,0,0,0,0,1,5,6,11,17
2012,"NMR-based metabolomics study of canine bladder cancer","Zhang J., Wei S., Liu L., Nagana Gowda G.A., Bonney P., Stewart J., Knapp D.W., Raftery D.",09254439,"Biochimica et Biophysica Acta - Molecular Basis of Disease",1822, 11,0,0,0,0,0,0,0,5,5,10,17,27
2012,"A metabolomics approach to uncover the effects of grain diets on rumen health in dairy cows","Saleem F., Ametaj B.N., Bouatra S., Mandal R., Zebeli Q., Dunn S.M., Wishart D.S.",00220302,"Journal of Dairy Science",95, 11,0,0,0,0,0,0,0,8,6,14,27,41
